ID,HX711_low_1,HX711_low_2,HX711_up_1,HX711_up_2,Handheld_low_1,Handheld_low_2,Handheld_up_1,Handheld_up_2,SC_low_1,SC_low_2,SC_up_1,SC_up_2
1,27.09725,28.5915,8.60175,10.18225,23.05,26.575,6.9,8.775,28.07802013,29.22147651,8.891219239,10.53495526
2,26.2095,26.2435,11.99325,12.814,25.2,27.3,10.925,11.775,27.52404922,27.38450783,14.82857942,13.58780761
3,31.73675,25.224,15.384,13.094,30.075,22.825,14.675,12.65,32.71029083,27.14485459,16.06236018,15.18736018
4,23.466,24.9245,11.068,9.9685,21.775,25.475,9.675,9.45,24.4594519,25.63059284,10.87220358,10.34563758
5,23.034,27.8325,11.2865,8.99725,21.575,29.25,10.75,8.75,25.02740492,28.99384787,11.25055928,9.407158837
7,37.036,37.32225,17.6425,12.98525,38.675,38.7,18.5,11.125,37.13954139,37.60123043,18.15967562,13.40520134
8,24.3235,26.4005,7.901,9.018,26.8,26.075,7.425,7.975,24.48797539,26.45777405,8.216442953,9.413870246
9,22.82625,31.49575,7.964,8.561,25.8,32.625,8.5,9.45,23.45218121,32.61717002,8.644295302,10.33137584
10,35.1153333,28.06975,14.255,11.93575,37.3,26.325,15.575,11.75,42.24310216,30.38422819,14.56068233,13.16051454
11,24.804,35.8505,10.3685,11.398,25.825,36.425,11,11.6,25.6409396,38.08585011,10.73461969,11.66703952
12,19.06825,27.45625,11.652,10.4655,21.675,26.075,13.425,11.225,19.36381432,27.8151566,14.18959732,11.25950783
13,22.581,25.537,6.92775,7.69975,22.66666667,24.15,6.3,7.225,22.85160328,25.78942953,7.318791946,8.067114094
14,38.27775,24.25275,14.938,15.51575,32.8,24.725,14.06666667,15.9,38.84731544,25.3417226,15.42170022,16.16918345
15,24.06675,24.484,8.908,8.87425,22.55,24.1,9.5,9.125,24.92365772,26.90268456,9.831375839,10.98238255
16,29.749,32.587,8.70525,11.7795,27.725,32.275,7.825,11.05,31.21532438,36.19602908,9.209451902,13.20134228
17,13.1555,11.74525,5.41775,4.308,12.675,11.225,6.65,3.2,14.89401566,12.92253915,6.078020134,4.881431767
18,22.23675,20.1175,7.6095,8.16,20.875,16.425,8.025,7.8,24.09116331,21.90771812,8.494966443,9.053691275
19,11.1125,10.35675,4.5485,4.47525,10.625,10.075,4.575,3.475,12.39038031,11.24021253,5.064317673,5.119407159
20,11.633,16.85875,10.51675,9.8165,11.575,16.625,10.025,9.675,12.64121924,18.7905481,12.7393736,11.08025727
21,38.93375,35.7885,8.39875,9.5615,38.05,33.6,7.75,6.7,43.39904922,39.61549217,9.467841163,10.55564877
22,20.4455,15.0015,6.25775,6.58325,19.675,14.45,5.65,5.225,22.35598434,16.31795302,7.414149888,7.295302013
23,19.609,22.94475,8.5285,8.15625,18.525,21.425,7.775,7.075,20.99244966,24.66414989,9.44295302,9.105704698
24,26.9715,27.385,8.99175,10.46425,25.65,27.125,8.75,10.075,29.57550336,30.1795302,9.984899329,11.57746085
25,29.30125,30.544,10.5035,8.442,29.175,31.075,10.175,8.4,31.90436242,33.84423937,11.60095078,9.429250559
26,20.986,24.3925,6.54825,8.58875,20.325,20.825,5.6,8.25,23.06599553,24.44239374,7.041387025,9.725671141
27,24.22675,28.448,11.2955,13.707,24.125,28.875,10.6,12.6,26.34284116,30.90184564,13.23378076,20.45441834
28,29.28175,34.7935,9.781,13.80775,29,34.75,9.775,13.8,31.41219239,37.1003915,11.3417226,15.2393736
29,18.39675,18.871,5.6545,7.06125,17.925,17.575,4.725,6.45,19.89065996,20.49552573,6.500279642,7.956655481
30,10.88075,11.28225,4.16475,3.723,10.55,11.4,3.55,3.125,11.97147651,12.43344519,4.661353468,4.196588367
