up_hh_01,up_hh_02,up_hh_03,up_hh_04,up_hx_01,up_hx_02,up_hx_03,up_hx_04,up_sc_01,up_sc_02,up_sc_03,up_sc_04,low_hh_01,low_hh_02,low_hh_03,low_hh_04,low_hx_01,low_hx_02,low_hx_03,low_hx_04,low_sc_01,low_sc_02,low_sc_03,low_sc_04
6.5,8.4,6.8,13.4,8.364,11.538,10.398,10.429,8.55704698,12.18120805,10.47203579,10.9295302,20.8,28,28,29.5,21.872,29.395,31.079,32.02,22.44966443,29.9082774,31.99776286,32.53020134
10.8,11.3,12.6,12.4,10.797,10.961,14.217,15.281,11.3344519,11.73378076,15.17561521,16.10738255,29.5,36.4,21.1,22.2,28.295,35.355,20.193,21.131,30.64988814,36.13534676,21.03020134,21.72259508
14.1,13.5,10.8,12.2,14.235,13.453,12.237,12.451,15.50223714,14.74944072,13.41722595,17.08053691,26.6,20.5,23.9,20.3,26.332,25.629,25.662,23.273,28.29418345,27.49440716,27.57270694,25.21812081
10.6,8.5,8.9,9.8,11.237,9.064,9.135,10.438,11.62863535,9.532438479,9.412751678,10.80872483,21.3,23,28.2,29.4,23.379,22.536,26.253,27.53,24.85682327,22.58612975,26.77516779,28.30425056
7.9,9.5,8.2,9.4,10.201,9.883,8.069,7.836,10.25615213,10.37248322,8.525727069,8.474272931,28.3,24.2,32.2,32.3,29.81,16.934,32.008,32.578,30.73489933,18.89597315,33.30872483,33.03579418
14.6,17.6,22.1,8.1,15.939,20.145,23.105,10.143,17.03243848,21.09395973,22.93400447,10.71700224,23.6,30.7,30,33,25.234,34.668,34.096,39.324,25.87024609,35.25055928,34.89261745,40.18008949
10.5,12,10.5,11.5,11.81,13.509,14.268,12.354,12.16107383,13.89149888,14.95302013,12.61521253,36.6,37.3,39.2,41.7,36.344,35.81,37.797,39.338,37.04697987,36.17897092,37.66107383,39.51789709
6.6,6.7,8.3,10.3,8.174,8.338,8.764,10.796,8.501118568,8.853467562,9.096196868,11.20469799,23.8,24.3,29,27.2,24.57,24.477,29.053,27.502,24.5704698,24.77852349,28.89149888,27.59060403
8.3,9.1,9,11.4,7.367,8.162,8.47,10.245,8.750559284,9.758389262,10.09284116,12.72371365,28.2,32.3,36.6,33.4,25.685,31.763,36.417,32.118,27.47427293,32.64988814,37.14205817,33.20246085
13.7,11,10.9,11.4,14.072,11.095,10.83,11.746,15.00782998,12.68344519,11.99776286,12.95302013,26,25.9,27.9,25.5,26.993,28.228,29.845,27.213,29.40715884,30.62304251,32.20246085,29.30425056
10.8,13.6,9.4,11.1,10.156,12.875,9.371,9.46,10.67561521,13.3557047,10.20134228,10.80536913,36.4,33.5,40.7,35.1,35.163,31.435,42.784,34.02,37.55145414,33.45190157,45.15100671,36.18903803
6.1,7.1,7.2,8.5,6.758,7.481,7.698,8.862,7.068232662,7.903803132,8.033557047,9.262863535,20.4,27,27.2,29.7,21.994,28.71,28.37,30.751,23.05033557,28.72706935,28.70357942,30.77964206
13.5,21,10.7,18.4,15.516,20.354,11.621,14.572,16.07941834,21.13199105,12.27293065,15.19239374,23.3,27,26.4,19.9,25.235,28.227,28.009,20.677,25.18120805,28.44071588,28.33557047,21.20022371
9.2,8.1,10.7,8.5,8.598,7.498,10.288,9.113,10.14317673,8.56935123,13.09284116,12.12416107,20.5,24.5,24.2,29.7,20.528,23.87,24.389,28.224,21.55145414,24.91722595,25.54250559,29.3557047
12.4,11.3,10.1,10.4,13.448,12.184,10.376,11.11,15.05928412,13.85123043,11.58724832,12.30760626,28.7,27.3,37,36.1,30.686,27.286,36.002,36.374,33.7147651,30.45525727,39.81208054,40.80201342
2.8,3.8,3.7,2.5,4.611,4.538,4.31,3.773,5.173378076,5.159955257,4.903803132,4.288590604,10.9,14,9.5,10.5,11.756,14.234,10.09,10.901,13.12639821,15.59619687,10.98993289,11.97762864
6.8,7.2,9.1,8.1,7.703,7.434,9.279,8.224,8.371364653,8.293064877,10.37248322,9.177852349,16.8,16.3,19.2,13.4,17.862,19.03,20.16,23.418,19.58612975,20.62751678,21.8344519,25.58277405
3.4,3.7,3.3,3.5,4.467,4.475,4.084,4.875,4.937360179,5.070469799,4.824384787,5.64541387,9.2,10.1,11,10,9.288,10.362,11.377,10.4,10.24944072,11.47427293,11.5738255,11.66331096
9.2,11.5,8.4,9.6,9.195,11.143,9.45,9.478,10.450783,12.67673378,10.62751678,10.56599553,14.4,16.3,16.5,19.3,14.388,16.223,16.888,19.936,16.28187919,17.8064877,18.68120805,22.39261745
7.4,8.5,6.2,4.7,8.231,10.008,8.474,11.533,9.176733781,10.9966443,9.454138702,12.5950783,32.8,30.7,33.8,37.1,33.519,32.215,37.68,39.74,37.23378076,36.24161074,41.39261745,43.59395973
5.4,4.6,5.9,5,7.272,5.932,7.198,5.931,8.071588367,6.532438479,7.91163311,6.665548098,15.8,16,13,13,15.522,16.157,14.176,14.151,17.11409396,17.37695749,15.60290828,15.17785235
7.2,7.5,7,6.6,7.759,8.295,8.517,8.054,8.717002237,9.276286353,9.402684564,9.026845638,18.4,19.4,23.7,24.2,19.236,20.674,26.444,25.425,20.7393736,22.15212528,28.48545861,27.27964206
10.2,11.2,10.2,8.7,10.519,12.156,9.935,9.247,11.57718121,13.32214765,11.09284116,10.31767338,26.3,25.8,26.9,29.5,26.128,26.752,26.647,30.013,28.81655481,29.598434,29.45525727,32.84787472
7.5,8.7,8.5,8.9,7.248,8.727,8.551,9.242,8.203579418,9.81655481,9.492170022,10.20469799,30.7,27.5,34.2,31.9,29.855,26.945,33.876,31.5,33.2639821,30.04474273,37.35011186,34.71812081
10.1,9.8,5.3,7.8,10.003,9.758,6.396,8.198,10.96308725,10.81655481,7.477628635,9.64541387,13.3,18.2,21.4,30.4,25.156,19.467,21.8,31.147,27.77852349,21.27181208,24.81543624,23.90380313
11,14.1,12.4,12.9,11.922,14.127,14.054,14.725,18.63982103,22.19686801,23.11185682,17.86912752,17.6,30,34.1,33.8,17.628,28.206,35.093,32.865,19.25391499,30.48881432,37.99552573,35.86912752
13.1,15,14.5,12.6,12.879,14.736,14.505,13.111,14.25727069,16.17897092,16.34004474,14.18120805,31.3,39.4,35.7,32.6,31.642,37.78,36.293,33.459,33.77964206,40.47427293,38.57606264,35.57158837
6.2,6.3,6.8,6.5,6.722,6.476,7.671,7.376,7.531319911,7.378076063,8.791946309,8.125279642,14.1,19.5,17.4,19.3,14.553,21.055,18.782,21.094,15.8310962,22.71588367,20.47762864,22.95749441
3.1,3.8,2.8,2.8,3.938,3.971,3.464,3.519,4.402684564,4.402684564,3.920581655,4.060402685,11.3,12.6,11.1,10.6,11.117,12.49,10.785,10.737,12.24944072,13.598434,12.1442953,11.74161074
